quarter,n_models,mean_score,std_score,min_score,max_score
2022Q1,17,0.39429534313725484,0.03146221087555433,0.3553645833333334,0.4470520833333333
2022Q2,8,0.3719374999999999,0.022535674292627962,0.342,0.4030833333333333
2022Q3,1,0.3911145833333333,,0.3911145833333333,0.3911145833333333
2022Q4,8,0.396875,0.028113456074456582,0.3517395833333332,0.42203125
2023Q1,14,0.3673586309523809,0.02323111040012448,0.3326979166666666,0.4179375
2023Q2,26,0.3652239583333333,0.016382417014579483,0.33378125,0.3951458333333333
2023Q3,36,0.4070054976851851,0.04555687901386927,0.33821875,0.5078541666666667
2023Q4,75,0.4139630555555555,0.042568689188612986,0.3364166666666666,0.5129687500000001
2024Q1,145,0.4054313936781609,0.03448691975992963,0.3289791666666666,0.4821770833333333
2024Q2,465,0.4100296818996415,0.04010315815884679,0.3046979166666667,0.5230416666666667
2024Q3,663,0.40494570135746605,0.03815704081931003,0.3140624999999999,0.5901770833333333
2024Q4,1116,0.40614049432497007,0.04503141569516047,0.3008229166666666,0.6023645833333333
2025Q1,1472,0.40562621716485503,0.051272616384026165,0.3021875,0.5911041666666667
